SYSTEM	SITE	ENBID	ENBNAME	SITE_NAME	CID	CELL_NAME	LAT	LON	DIR	ANT_BW	TAC	MCC	MNC	EARFCN	PCI
LTE	BKK1653	304718	BKK1653-L23	SOL_TWIN	13	L23-BKK1653-3A	13.745173	100.52023	30	30	33021	520	17	39248	276
LTE	BKK1653	304718	BKK1653-L23	SOL_TWIN	23	L23-BKK1653-3B	13.745173	100.52023	150	30	33021	520	17	39248	286
LTE	BKK1653	304718	BKK1653-L23	SOL_TWIN	22	L23-BKK1653-2B	13.745173	100.52023	150	30	33021	520	17	39050	286
LTE	BKK1653	304718	BKK1653-L23	SOL_TWIN	21	L23-BKK1653-1B	13.745173	100.52023	150	30	33021	520	17	38852	286
LTE	BKK1653	304718	BKK1653-L23	SOL_TWIN	31	L23-BKK1653-1C	13.745173	100.52023	330	30	33021	520	17	38852	287
LTE	BKK1653	304718	BKK1653-L23	SOL_TWIN	32	L23-BKK1653-2C	13.745173	100.52023	330	30	33021	520	17	39050	287
LTE	BKK1653	304718	BKK1653-L23	SOL_TWIN	33	L23-BKK1653-3C	13.745173	100.52023	330	30	33021	520	17	39248	287
LTE	BKK1653	304717	BKK1653B-L23	SOL_TWIN	43	L23-BKK1653-3D	13.745173	100.52023	360	30	33021	520	17	39248	461
LTE	BKK1653	304717	BKK1653B-L23	SOL_TWIN	42	L23-BKK1653-2D	13.745173	100.52023	360	30	33021	520	17	39050	461
LTE	BKK1653	304717	BKK1653B-L23	SOL_TWIN	41	L23-BKK1653-1D	13.745173	100.52023	360	30	33021	520	17	38852	461
LTE	BKK1653	304717	BKK1653B-L23	SOL_TWIN	51	L23-BKK1653-1E	13.745173	100.52023	360	30	33021	520	17	38852	453
LTE	BKK1653	304717	BKK1653B-L23	SOL_TWIN	52	L23-BKK1653-2E	13.745173	100.52023	360	30	33021	520	17	1	453
LTE	BKK1653	304717	BKK1653B-L23	SOL_TWIN	53	L23-BKK1653-3E	13.745173	100.52023	360	30	33021	520	17	39248	453
LTE	BKK1507	304782	BKK1507-L23	YWCA	11	L23-BKK1507-1A	13.72424369	100.5410271	360	170	33023	520	17	38852	437
LTE	BKK1507	304782	BKK1507-L23	YWCA	12	L23-BKK1507-2A	13.72424369	100.5410271	360	170	33023	520	17	39050	437
LTE	BKK1507	304782	BKK1507-L23	YWCA	13	L23-BKK1507-3A	13.72424369	100.5410271	360	170	33023	520	17	39248	437
LTE	BKK1877	304790	BKK1877-L23	JEWELRY_UP_NORTH	12	L23-BKK1877-2A	13.72311926	100.519846	360	170	33021	520	17	39050	481
LTE	BKK1877	304790	BKK1877-L23	JEWELRY_UP_NORTH	13	L23-BKK1877-3A	13.72311926	100.519846	360	170	33021	520	17	39248	481
LTE	BKK1877	304790	BKK1877-L23	JEWELRY_UP_NORTH	11	L23-BKK1877-1A	13.72311926	100.519846	360	170	33021	520	17	38852	481
LTE	BKK1886	304791	BKK1886-L23	QHOUSE_SATHON	11	L23-BKK1886-1A	13.72484666	100.5416043	360	170	33023	520	17	38852	482
